ID,Name,Description,ColumnSpec,Nexus_File,Concepticon_ID,Concepticon_Gloss
4884,far-16,,,data,1406,FAR
4885,far-17,,,data,1406,FAR
4886,far-18,,,data,1406,FAR
4887,far-19,,,data,1406,FAR
4888,far-20,,,data,1406,FAR
4889,far-21,,,data,1406,FAR
4890,far-22,,,data,1406,FAR
4891,far-23,,,data,1406,FAR
4892,far-24,,,data,1406,FAR
4893,far-25,,,data,1406,FAR
4894,far-26,,,data,1406,FAR
4895,far-27,,,data,1406,FAR
4896,far-28,,,data,1406,FAR
4897,far-29,,,data,1406,FAR
4898,far-30,,,data,1406,FAR
4899,far-31,,,data,1406,FAR
4900,far-32,,,data,1406,FAR
4901,far-33,,,data,1406,FAR
4902,far-34,,,data,1406,FAR
4903,far-35,,,data,1406,FAR
4904,far-36,,,data,1406,FAR
4905,far-37,,,data,1406,FAR
4906,far-38,,,data,1406,FAR
4907,far-39,,,data,1406,FAR
4908,far-40,,,data,1406,FAR
4909,far-41,,,data,1406,FAR
4910,far-42,,,data,1406,FAR
4911,far-43,,,data,1406,FAR
4912,far-44,,,data,1406,FAR
4913,far-45,,,data,1406,FAR
4914,far-46,,,data,1406,FAR
4915,far-47,,,data,1406,FAR
4916,far-48,,,data,1406,FAR
4917,far-49,,,data,1406,FAR
4918,far-50,,,data,1406,FAR
4919,far-51,,,data,1406,FAR
4920,far-52,,,data,1406,FAR
4921,far-53,,,data,1406,FAR
4922,far-54,,,data,1406,FAR
4923,far-55,,,data,1406,FAR
4924,far-56,,,data,1406,FAR
4925,far-57,,,data,1406,FAR
4926,far-58,,,data,1406,FAR
4927,far-59,,,data,1406,FAR
4928,far-60,,,data,1406,FAR
4929,far-61,,,data,1406,FAR
4930,far-62,,,data,1406,FAR
4931,far-63,,,data,1406,FAR
4932,far-64,,,data,1406,FAR
4933,far-65,,,data,1406,FAR
4934,far-66,,,data,1406,FAR
4935,far-67,,,data,1406,FAR
4936,far-68,,,data,1406,FAR
4937,far-69,,,data,1406,FAR
4938,far-70,,,data,1406,FAR
4939,far-71,,,data,1406,FAR
4940,far-72,,,data,1406,FAR
4941,far-73,,,data,1406,FAR
4942,far-74,,,data,1406,FAR
4943,far-75,,,data,1406,FAR
4944,far-76,,,data,1406,FAR
4945,far-77,,,data,1406,FAR
4946,far-78,,,data,1406,FAR
4947,far-79,,,data,1406,FAR
4948,far-80,,,data,1406,FAR
4949,far-81,,,data,1406,FAR
4950,far-82,,,data,1406,FAR
4951,far-83,,,data,1406,FAR
4952,far-84,,,data,1406,FAR
4953,far-85,,,data,1406,FAR
4954,far-86,,,data,1406,FAR
4955,far-87,,,data,1406,FAR
4956,fat_-ascertained,,,data,,
4957,fat_-2,,,data,323,FAT (ORGANIC SUBSTANCE)
4958,fat_-3,,,data,323,FAT (ORGANIC SUBSTANCE)
4959,fat_-4,,,data,323,FAT (ORGANIC SUBSTANCE)
4960,fat_-5,,,data,323,FAT (ORGANIC SUBSTANCE)
